id;invoice_number;issue_date;due_date;amount
1;mid;2024-10-20T20:54:17;2024-10-20T22:43:49;31074.64
2;regarding before sadly;2024-10-21T07:06:37;2024-10-20T23:57:35;25917.4
3;weight;2024-10-20T15:12:23;2024-10-20T10:46:51;4322.44
4;markup once;2024-10-20T12:58:07;2024-10-20T23:11:46;387.9
5;astride heartfelt;2024-10-20T15:53:47;2024-10-20T20:08:00;11688.51
6;ouch;2024-10-20T11:34:16;2024-10-20T10:30:20;14350.48
7;claw barring SUV;2024-10-20T23:59:33;2024-10-21T00:03:11;3623.16
8;wry;2024-10-20T23:40:53;2024-10-21T05:57:46;14171.2
9;progress;2024-10-20T19:43:20;2024-10-21T08:51:38;10390.74
10;even;2024-10-20T09:59:01;2024-10-21T08:07:30;28555.9
