id;invoice_number;issue_date;due_date;amount
1;foolishly emerge drat;2024-10-21T08:18:18;2024-10-21T10:43:39;12898.14
2;depute drat grandson;2024-10-20T22:27:30;2024-10-21T03:55:47;4679.93
3;across;2024-10-21T06:39:24;2024-10-20T12:17:49;13448.07
4;for;2024-10-21T04:47:06;2024-10-21T09:20:07;7174.97
5;gee scram;2024-10-20T14:05:43;2024-10-21T05:18:27;16042.54
6;modulo;2024-10-20T23:24:58;2024-10-20T19:47:34;28718.53
7;whose;2024-10-21T05:40:13;2024-10-20T14:22:49;15597.78
8;entice epic;2024-10-21T00:03:59;2024-10-20T11:48:02;11896.86
9;amid;2024-10-20T19:38:43;2024-10-21T06:09:47;26948.72
10;dicker deeply violin;2024-10-20T22:22:52;2024-10-21T07:50:31;4540.78
