id;name;price;stock;description
1;sweetly hydrant absolve;21930.07;31033;../fake-data/blob/hipster.txt
2;searchingly;9678.87;28245;../fake-data/blob/hipster.txt
3;hence profane;2431.14;29262;../fake-data/blob/hipster.txt
4;inborn anneal wherever;17443.23;16188;../fake-data/blob/hipster.txt
5;bliss inasmuch contradict;12879.01;22247;../fake-data/blob/hipster.txt
6;plump;32700.2;24340;../fake-data/blob/hipster.txt
7;decide;8864.99;3530;../fake-data/blob/hipster.txt
8;readily silent;3531.01;20776;../fake-data/blob/hipster.txt
9;yippee;19271.31;27195;../fake-data/blob/hipster.txt
10;dreary;59.53;7250;../fake-data/blob/hipster.txt
