id;tracking_number;shipped_date;delivery_date
1;meh;2024-10-20T15:05:06;2024-10-21T02:31:04
2;um;2024-10-20T13:07:44;2024-10-21T07:38:19
3;royal;2024-10-20T18:15:57;2024-10-21T02:30:53
4;cappelletti;2024-10-20T17:28:56;2024-10-20T22:40:50
5;sheathe as midst;2024-10-21T02:05:34;2024-10-20T22:18:02
6;unless gracefully;2024-10-21T06:50:41;2024-10-20T15:50:00
7;dress;2024-10-20T14:22:59;2024-10-20T19:56:29
8;bustling hence instead;2024-10-21T07:34:04;2024-10-21T05:46:22
9;pip serpentine intensely;2024-10-20T10:50:54;2024-10-20T12:13:50
10;judicious;2024-10-20T23:13:19;2024-10-20T14:15:27
