id;tracking_number;shipped_date;delivery_date
1;within ha;2024-10-20T15:21:06;2024-10-20T10:55:17
2;whether;2024-10-21T02:21:03;2024-10-20T18:58:16
3;given rosemary;2024-10-21T02:40:37;2024-10-21T06:57:13
4;pomelo jeopardise;2024-10-20T20:25:58;2024-10-20T16:44:38
5;before closed;2024-10-20T19:14:27;2024-10-20T14:48:15
6;quizzically;2024-10-21T02:30:07;2024-10-20T12:31:01
7;fortunately;2024-10-21T06:37:24;2024-10-21T10:37:49
8;jealous witty oof;2024-10-21T04:42:31;2024-10-20T17:51:16
9;table pause;2024-10-20T14:12:42;2024-10-20T22:29:28
10;premier mobility;2024-10-21T07:40:40;2024-10-21T02:09:42
