id;invoice_number;issue_date;due_date;amount
1;mid;2024-10-20T22:35:37;2024-10-21T00:25:09;31074.64
2;regarding before sadly;2024-10-21T08:47:57;2024-10-21T01:38:55;25917.4
3;weight;2024-10-20T16:53:43;2024-10-20T12:28:11;4322.44
4;markup once;2024-10-20T14:39:27;2024-10-21T00:53:06;387.9
5;astride heartfelt;2024-10-20T17:35:07;2024-10-20T21:49:20;11688.51
6;ouch;2024-10-20T13:15:36;2024-10-20T12:11:40;14350.48
7;claw barring SUV;2024-10-21T01:40:53;2024-10-21T01:44:31;3623.16
8;wry;2024-10-21T01:22:13;2024-10-21T07:39:06;14171.2
9;progress;2024-10-20T21:24:40;2024-10-21T10:32:58;10390.74
10;even;2024-10-20T11:40:21;2024-10-21T09:48:50;28555.9
