id;invoice_number;issue_date;due_date;amount
1;foolishly emerge drat;2024-10-21T08:19:32;2024-10-21T10:44:53;12898.14
2;depute drat grandson;2024-10-20T22:28:44;2024-10-21T03:57:01;4679.93
3;across;2024-10-21T06:40:38;2024-10-20T12:19:03;13448.07
4;for;2024-10-21T04:48:20;2024-10-21T09:21:21;7174.97
5;gee scram;2024-10-20T14:06:57;2024-10-21T05:19:41;16042.54
6;modulo;2024-10-20T23:26:12;2024-10-20T19:48:48;28718.53
7;whose;2024-10-21T05:41:27;2024-10-20T14:24:03;15597.78
8;entice epic;2024-10-21T00:05:13;2024-10-20T11:49:16;11896.86
9;amid;2024-10-20T19:39:57;2024-10-21T06:11:01;26948.72
10;dicker deeply violin;2024-10-20T22:24:06;2024-10-21T07:51:45;4540.78
