id;name;price;stock;description
1;mom tighten toward;24897.88;21030;../fake-data/blob/hipster.txt
2;capsize pish;6390.26;22065;../fake-data/blob/hipster.txt
3;stump railway yuppify;7112.31;24919;../fake-data/blob/hipster.txt
4;stuff miscalculate;22909.89;15385;../fake-data/blob/hipster.txt
5;gurn spattering winged;30708.4;17372;../fake-data/blob/hipster.txt
6;ill-fated finger deficient;8586.83;30017;../fake-data/blob/hipster.txt
7;technician fax ew;12467.41;31853;../fake-data/blob/hipster.txt
8;vastly information;9825.48;4019;../fake-data/blob/hipster.txt
9;appropriate barring how;10430.44;23782;../fake-data/blob/hipster.txt
10;so blissfully;2955.63;1932;../fake-data/blob/hipster.txt
