id;tracking_number;shipped_date;delivery_date
1;meh;2024-10-20T15:06:20;2024-10-21T02:32:18
2;um;2024-10-20T13:08:58;2024-10-21T07:39:33
3;royal;2024-10-20T18:17:11;2024-10-21T02:32:07
4;cappelletti;2024-10-20T17:30:10;2024-10-20T22:42:04
5;sheathe as midst;2024-10-21T02:06:48;2024-10-20T22:19:16
6;unless gracefully;2024-10-21T06:51:55;2024-10-20T15:51:14
7;dress;2024-10-20T14:24:13;2024-10-20T19:57:43
8;bustling hence instead;2024-10-21T07:35:18;2024-10-21T05:47:36
9;pip serpentine intensely;2024-10-20T10:52:08;2024-10-20T12:15:04
10;judicious;2024-10-20T23:14:33;2024-10-20T14:16:41
