id;tracking_number;shipped_date;delivery_date
1;within ha;2024-10-20T15:22:20;2024-10-20T10:56:31
2;whether;2024-10-21T02:22:17;2024-10-20T18:59:30
3;given rosemary;2024-10-21T02:41:51;2024-10-21T06:58:27
4;pomelo jeopardise;2024-10-20T20:27:12;2024-10-20T16:45:52
5;before closed;2024-10-20T19:15:41;2024-10-20T14:49:29
6;quizzically;2024-10-21T02:31:21;2024-10-20T12:32:15
7;fortunately;2024-10-21T06:38:38;2024-10-21T10:39:03
8;jealous witty oof;2024-10-21T04:43:45;2024-10-20T17:52:30
9;table pause;2024-10-20T14:13:56;2024-10-20T22:30:42
10;premier mobility;2024-10-21T07:41:54;2024-10-21T02:10:56
