id;invoice_number;issue_date;due_date;amount
1;sensitize which;2024-10-20T12:08:19;2024-10-21T05:09:23;26136.27
2;volleyball greedily;2024-10-20T14:17:09;2024-10-21T01:58:33;4027.71
3;who reassuringly inure;2024-10-20T15:19:47;2024-10-21T08:51:32;14951.91
4;versus providence very;2024-10-21T02:39:50;2024-10-21T05:42:07;18694.57
5;which instead er;2024-10-20T14:29:16;2024-10-20T15:50:16;32521.77
6;harangue;2024-10-20T18:19:49;2024-10-20T20:26:56;20002.22
7;drain;2024-10-20T22:54:01;2024-10-21T10:46:35;26780.63
8;wolf charter;2024-10-21T07:31:14;2024-10-21T05:20:45;8424.97
9;oh huzzah psst;2024-10-20T23:46:48;2024-10-20T20:03:51;26258.74
10;wrongly;2024-10-21T05:14:16;2024-10-20T11:21:07;28736.54
