id;invoice_number;issue_date;due_date;amount
1;graceful;2024-10-20T12:56:33;2024-10-21T09:39:33;650.31
2;publicize;2024-10-20T11:57:45;2024-10-20T20:19:53;21968.11
3;when blink boohoo;2024-10-20T16:00:22;2024-10-20T23:06:26;1203.87
4;slow via dense;2024-10-20T16:57:30;2024-10-20T21:33:13;31060.02
5;foolishly shirk;2024-10-21T11:08:15;2024-10-20T11:57:13;28998.21
6;while greedily offend;2024-10-20T14:40:01;2024-10-21T04:12:50;7275.38
7;scientific despite;2024-10-20T15:06:43;2024-10-21T01:18:21;7848.09
8;whether frankly pfft;2024-10-20T16:08:44;2024-10-20T14:34:05;10828.67
9;aha advancement intend;2024-10-21T10:46:40;2024-10-20T17:18:09;21098.77
10;pish when pfft;2024-10-20T14:37:22;2024-10-20T11:55:38;26410.71
