id;tracking_number;shipped_date;delivery_date
1;greedily by;2024-10-21T09:09:20;2024-10-20T20:57:47
2;shyly um politely;2024-10-21T00:45:03;2024-10-21T10:45:45
3;mmm;2024-10-20T14:18:11;2024-10-20T22:47:22
4;from above circle;2024-10-20T14:32:55;2024-10-21T00:11:50
5;scare given generally;2024-10-20T19:44:26;2024-10-20T22:44:23
6;repurpose whereas;2024-10-21T07:13:58;2024-10-20T14:49:40
7;a;2024-10-20T19:40:54;2024-10-21T07:59:38
8;rigidly;2024-10-20T13:36:49;2024-10-20T18:47:25
9;like tag longingly;2024-10-20T13:40:25;2024-10-21T07:50:41
10;aside;2024-10-20T18:57:29;2024-10-21T04:45:08
