id;tracking_number;shipped_date;delivery_date
1;cinder yowza nearly;2024-10-21T07:51:31;2024-10-20T17:49:00
2;brightly;2024-10-20T15:48:41;2024-10-21T09:39:32
3;carpool irritably;2024-10-21T05:49:15;2024-10-21T04:07:03
4;nervously meh;2024-10-20T18:39:35;2024-10-21T07:33:00
5;testimonial tray;2024-10-20T20:11:01;2024-10-20T12:22:21
6;carouse hungry;2024-10-20T21:33:35;2024-10-20T14:43:59
7;plumber halt gee;2024-10-20T20:04:45;2024-10-20T17:50:42
8;ski stealthily;2024-10-20T14:06:57;2024-10-21T00:24:59
9;glimmer;2024-10-20T13:17:45;2024-10-20T11:55:47
10;adrenalin considering who;2024-10-20T23:11:39;2024-10-20T12:49:27
