id;invoice_number;issue_date;due_date;amount
1;graceful;2024-10-20T12:56:58;2024-10-21T09:39:58;650.31
2;publicize;2024-10-20T11:58:10;2024-10-20T20:20:18;21968.11
3;when blink boohoo;2024-10-20T16:00:47;2024-10-20T23:06:51;1203.87
4;slow via dense;2024-10-20T16:57:55;2024-10-20T21:33:38;31060.02
5;foolishly shirk;2024-10-21T11:08:40;2024-10-20T11:57:38;28998.21
6;while greedily offend;2024-10-20T14:40:26;2024-10-21T04:13:15;7275.38
7;scientific despite;2024-10-20T15:07:08;2024-10-21T01:18:46;7848.09
8;whether frankly pfft;2024-10-20T16:09:09;2024-10-20T14:34:30;10828.67
9;aha advancement intend;2024-10-21T10:47:05;2024-10-20T17:18:34;21098.77
10;pish when pfft;2024-10-20T14:37:47;2024-10-20T11:56:03;26410.71
