id;tracking_number;shipped_date;delivery_date
1;greedily by;2024-10-21T09:09:45;2024-10-20T20:58:12
2;shyly um politely;2024-10-21T00:45:28;2024-10-21T10:46:10
3;mmm;2024-10-20T14:18:36;2024-10-20T22:47:47
4;from above circle;2024-10-20T14:33:20;2024-10-21T00:12:15
5;scare given generally;2024-10-20T19:44:51;2024-10-20T22:44:48
6;repurpose whereas;2024-10-21T07:14:23;2024-10-20T14:50:05
7;a;2024-10-20T19:41:19;2024-10-21T08:00:03
8;rigidly;2024-10-20T13:37:14;2024-10-20T18:47:50
9;like tag longingly;2024-10-20T13:40:50;2024-10-21T07:51:06
10;aside;2024-10-20T18:57:54;2024-10-21T04:45:33
