id;tracking_number;shipped_date;delivery_date
1;psst adaptation decongestant;2024-10-20T16:46:50;2024-10-20T14:18:35
2;prance;2024-10-20T11:54:08;2024-10-21T04:57:19
3;cheetah between;2024-10-21T10:15:22;2024-10-21T09:53:09
4;premeditation;2024-10-20T16:21:50;2024-10-21T01:02:32
5;insistent;2024-10-20T14:12:07;2024-10-21T10:43:44
6;yippee;2024-10-20T19:09:05;2024-10-20T22:23:20
7;yahoo;2024-10-20T18:39:08;2024-10-21T09:20:26
8;zesty;2024-10-21T10:15:33;2024-10-20T22:33:07
9;sensitize down fooey;2024-10-21T03:11:19;2024-10-21T01:52:38
10;pecan bah nocturnal;2024-10-20T21:52:58;2024-10-21T08:09:45
