id;tracking_number;shipped_date;delivery_date
1;cinder yowza nearly;2024-10-21T07:51:56;2024-10-20T17:49:25
2;brightly;2024-10-20T15:49:06;2024-10-21T09:39:57
3;carpool irritably;2024-10-21T05:49:40;2024-10-21T04:07:28
4;nervously meh;2024-10-20T18:40:00;2024-10-21T07:33:25
5;testimonial tray;2024-10-20T20:11:26;2024-10-20T12:22:46
6;carouse hungry;2024-10-20T21:34:00;2024-10-20T14:44:24
7;plumber halt gee;2024-10-20T20:05:10;2024-10-20T17:51:07
8;ski stealthily;2024-10-20T14:07:22;2024-10-21T00:25:24
9;glimmer;2024-10-20T13:18:10;2024-10-20T11:56:12
10;adrenalin considering who;2024-10-20T23:12:04;2024-10-20T12:49:52
