id;name;description;hotline;tax_code;contacts_jason;extension_jason;is_enabled;agency_type_id
4d2c4444-9877-4387-8feb-dd7bbfbb9c0a;boohoo;upright;before;mooch;certification scientific;around separately;false;e88be87b-a180-46f8-a2f5-39fd8b596659
4f803ed9-bf91-4e66-85eb-af3b784d8c9f;rout stealthily;celebrated drat;primary celebrate;woot deny;drat;ghost outflank jovially;true;13b92b83-05e1-4904-b969-f98b99267f1d
a68f03f6-1afb-42b1-bc1f-4af27dc82295;since vibrant;selfishly concerning;director gallivant honestly;including jagged aside;community pro;usefully whoa lawful;false;09cc8535-dce3-41f4-84de-8e6ddd91b770
0bc311ad-2b41-4c0f-818d-2082eb44a8c6;whenever mosh;ack;unlike;cafe warlike;past reproach yowza;aw inasmuch;false;654e4e49-159b-44e1-aada-3336bfa88cf6
ed539d5d-9288-4ddd-8d5b-259bfd01f8e1;not unethically fooey;fooey likewise;per;gee;alongside;bloom;true;385e95b3-bac6-4de9-9e69-ecc72e865bfc
30d91b9f-e05c-4a32-b166-ef9fc9a79e31;athwart shred although;inquisitively when;gleaming;anenst unless but;probe untidy delectable;until quarrelsomely;false;5dd16dc1-396a-4bd6-9ed7-8dd16ab81f21
d5e89ace-608f-4243-b5e1-b8b6030e2871;hmph;nectarine mature curl;pale astride innovate;confused warmhearted;shell quiet unnecessarily;extract whisper afterwards;false;a67652c9-f012-4995-b70d-367a00863b56
017c7de9-6a4b-4cd4-bbeb-a8d174f16cc8;quizzically;yahoo for uproot;excluding apropos whoa;between;amongst sheathe;until um mediocre;true;a7208add-6d51-46c9-827b-717283819500
2a063e64-e9c8-4fd8-bbef-44564a95cda1;gee outside;pricey;armchair;scratch while march;overconfidently yum dimly;geez and;true;d27a9946-e4f7-4e9b-bf0c-ae7313153860
b9f63a35-9544-40cb-8c94-8371182b2d9e;declaration;ouch celsius;nephew;notwithstanding woot;misjudge;cop;false;b9071901-8922-4b7d-8e8b-0d928dc94054
