id;name;discount_type;discount_rate;scope
1;deduction though aboard;BY_FIXED_AMOUNT;10280.94;SPECIFIED_PRODUCTS
2;unlike;BY_FIXED_AMOUNT;16063.09;ALL_PRODUCTS
3;yin glimmer;BY_PERCENT;2665.02;ALL_PRODUCTS
4;only;BY_PERCENT;26472.63;SPECIFIED_PRODUCTS
5;square;BY_FIXED_AMOUNT;3112.05;SPECIFIED_PRODUCTS
6;although;BY_FIXED_AMOUNT;10082.79;SPECIFIED_PRODUCTS
7;underneath dutiful gorgeous;BY_PERCENT;16600.63;ALL_PRODUCTS
8;that last recent;BY_PERCENT;18458.42;SPECIFIED_PRODUCTS
9;throughout;BY_FIXED_AMOUNT;28746.75;SPECIFIED_PRODUCTS
10;absent whose dull;BY_FIXED_AMOUNT;2353.4;SPECIFIED_PRODUCTS
