id;source_title;source_url;collected_date
243a6e9e-66c3-44f6-a5ee-0899b0ddfe29;boo ordinary snappy;notwithstanding jellyfish unless;2024-10-21T08:37:43
a0b8ba15-3b05-475a-b24b-deb3a6bba44a;undergo gestate ornate;making;2024-10-21T00:51:03
2b29e018-d3db-49d9-9c74-fba8dcdb5dcb;but formation;who as;2024-10-20T19:21:54
361b706c-43fb-46f8-86fb-257ab22f2ab4;progress made-up;queasily mispronounce anenst;2024-10-21T16:50:28
294e86ea-ead2-4906-aedd-9e412f5c19c2;polarisation inasmuch;shovel hence;2024-10-21T13:32:51
fa9a9797-1876-4265-8d23-4c10199d24d7;jaywalk wonderfully ah;proofread;2024-10-21T10:49:37
0e783944-ef57-4724-9628-5eff20dd6a0d;duh;butter how;2024-10-21T11:27:18
f083567f-d74a-4585-93b2-416521b6fbd4;out;whoever replacement arrange;2024-10-21T08:57:40
7ae014ec-069b-48a1-b4d9-117f727b32ce;unaccountably interestingly yowza;sometimes beyond;2024-10-21T14:46:56
28b96547-7992-41bb-b1cc-ef65e5e04a18;plugin;husk;2024-10-21T16:09:34
