id;name;description_heitiga;coordinate;code;status;is_enabled;operator_id
e2a3020a-f71a-481b-bddc-6ccbafcc6d00;roger;however;always;unto playfully;ACTIVE;true;4d2c4444-9877-4387-8feb-dd7bbfbb9c0a
e76d673b-3ef3-4829-a97b-a7dc52526a4a;before;where;wherever hence oddly;as;INACTIVE;true;4f803ed9-bf91-4e66-85eb-af3b784d8c9f
564d4e24-2472-40f0-9f85-25c45c5d2882;apropos to unlike;inside;stormy duh;wherever too;INACTIVE;true;a68f03f6-1afb-42b1-bc1f-4af27dc82295
80061e43-f0b1-4bb1-ac5b-49f55bce37db;blushing lounge;lively schedule nab;stranger fooey into;across;INACTIVE;false;0bc311ad-2b41-4c0f-818d-2082eb44a8c6
76d28cf5-5697-4a31-aac0-13b5616f3f4c;unnaturally;ideal yuck;unnecessarily;unless mechanically enrich;INACTIVE;true;ed539d5d-9288-4ddd-8d5b-259bfd01f8e1
49720555-528e-4186-8fd6-2d7343ec1da8;the airman suspension;hence barring;freely gah naturally;premium hmph aside;INACTIVE;false;30d91b9f-e05c-4a32-b166-ef9fc9a79e31
415d53ca-2271-49a9-8f37-c1e79d49d8e0;while motivate;segregate;under;miscalculate that;INACTIVE;true;d5e89ace-608f-4243-b5e1-b8b6030e2871
548ea1b3-39d4-42a6-8df1-efbb04c23ca5;amongst young;patiently;upon anti into;pantyhose powerful inasmuch;INACTIVE;true;017c7de9-6a4b-4cd4-bbeb-a8d174f16cc8
a4e6e1da-dfe6-4900-af6d-420e1a701cc7;vicinity eek glider;blah;victoriously whenever account;of pantyhose ick;ACTIVE;true;2a063e64-e9c8-4fd8-bbef-44564a95cda1
645c736b-72d2-41b8-9d8f-1b7a8c6899a8;signature;where;superficial;yuck astride;ACTIVE;false;b9f63a35-9544-40cb-8c94-8371182b2d9e
