id;name;slug;description;is_jello_supported
1;hm earth separately;after;but fondly;true
2;faraway ouch till;never;considerate;true
3;ew creak hunger;disadvantage cumbersome er;hence electrify miserable;true
4;instructor amused;voluntarily egg incidentally;forgo during;true
5;lifestyle fond;internal;spiffy brown because;false
6;instead;instantly;past;true
7;anxiously;sedately;selfishly aha why;true
8;major nervous psst;hence sesame;times;true
9;deer near utilization;never bravely whenever;bind uh-huh providence;true
10;yearly monocle;boohoo;off huzzah knowingly;true
