id;booking_no;note_heitiga;period_type;from_date;to_date;check_in_date;check_out_date;number_of_adults;number_of_preschoolers;number_of_children;booking_price;extra_fee;total_price;booking_status;history_ref_jason
a6afac2e-b2bd-4392-a97c-1dc8bc7a6291;bump phew ethyl;malfunction concerning duh;NIGHT;2024-10-21T06:46:00;2024-10-21T02:11:30;2024-10-21T09:14:39;2024-10-21T03:26:04;23481;19153;12541;15220.68;7496.48;1236.67;RESERVED;powerless print boo
8c77b933-bb7f-49fa-8065-cfea039af96d;oof onto lieu;dock folklore;DAYLIGHT;2024-10-21T04:06:37;2024-10-20T23:45:28;2024-10-21T05:22:10;2024-10-20T18:24:36;8572;15358;22346;21692.5;16708.91;15721.2;RESERVED;sans tabulate
230d5032-4619-47ad-a5ec-bbc76cacdd7e;other gosh;yum vainly showy;NIGHT;2024-10-20T23:29:44;2024-10-20T22:11:52;2024-10-21T15:56:10;2024-10-21T01:46:33;13275;23611;17346;28970.1;17904.47;24730.18;RESERVED;give so meh
e9d13c1b-3c11-4bdc-8a81-1d6207ab4759;ah mockingly whoever;blight;NIGHT;2024-10-20T22:12:57;2024-10-21T02:46:32;2024-10-21T12:40:21;2024-10-20T23:29:03;24247;21879;21323;19204.01;18356.94;29854.58;PENDING;inferior if
430c7037-a580-4312-af1a-ad2668fe4f67;brr;pigpen stigmatize;DAYLIGHT;2024-10-21T02:11:02;2024-10-21T12:32:52;2024-10-20T21:44:52;2024-10-21T03:07:35;8583;3075;2260;12406.51;20387.54;4627.07;RESERVED;when lest
96209568-b1dc-4809-ac67-5e3e68ef3272;qua liquid save;comparison wherever sans;DAYLIGHT;2024-10-20T23:31:34;2024-10-21T09:14:19;2024-10-21T03:00:15;2024-10-21T05:38:47;19343;32333;20850;29150.85;16099.44;13153.77;RESERVED;vulgarise colorful dense
fbfc595e-e820-46c1-ba47-3708314f6d5e;meh;oh fortunately pale;NIGHT;2024-10-21T03:46:05;2024-10-21T05:58:32;2024-10-21T16:58:01;2024-10-21T04:24:31;12120;20472;5541;24521.64;653.4;27468.04;RESERVED;when interior unethically
eed6760a-580e-40df-a0ea-0a12d3b6428f;indeed onto;boohoo consequently;DAYLIGHT;2024-10-20T19:41:24;2024-10-21T13:21:27;2024-10-20T18:09:29;2024-10-20T22:22:27;5776;5853;25163;2103.55;16932.15;24501.1;PENDING;feline scarcely voluntarily
44ec7645-f7e1-4148-8219-4e376756b8bd;clinking splurge off;stingy likewise as;DAYLIGHT;2024-10-21T01:35:01;2024-10-21T15:46:10;2024-10-20T20:54:40;2024-10-21T00:47:05;21576;18829;22925;26761.78;22203.75;12196.96;PENDING;via
6d35efbc-04ed-4841-bc0d-1d04563b831e;gleefully;vice er;NIGHT;2024-10-21T13:50:47;2024-10-20T23:16:42;2024-10-20T23:35:42;2024-10-20T18:05:12;4475;122;30986;13049.27;22234.11;16721.14;RESERVED;swing modulo testify
