id;zip_action;name;template_id;data_source_mapping_type;template_data_mapping;target_urls
1;SEND_ZIP_TO_CUSTOMER_AFTER_BOOKING;insignificant treble;oh offensively;COMPLETED_ORDER;longingly sans;jumbo yet
2;SEND_ZIP_TO_CUSTOMER_AFTER_BOOKING;forgather;jovially ha;COMPLETED_ORDER;despite;rigidly yahoo aching
3;SEND_ZIP_TO_CUSTOMER_AFTER_BOOKING;gigantic;both whoever ouch;COMPLETED_ORDER;infatuated;below an commodity
4;SEND_ZIP_TO_CUSTOMER_AFTER_BOOKING;brr instead;gosh despite bathrobe;BOOKING_INFORMATION;yearningly thread;supposing pupil
5;SEND_ZIP_TO_CUSTOMER_AFTER_BOOKING;spherical;thoughtfully decent uncommon;BOOKING_INFORMATION;instance;phooey rim however
6;SEND_ZIP_TO_CUSTOMER_AFTER_BOOKING;regarding including;boggle save cheerfully;BOOKING_INFORMATION;neatly;hm out during
7;SEND_ZIP_TO_CUSTOMER_AFTER_BOOKING;supposing plump sonata;blowgun;COMPLETED_ORDER;jovially except;excepting tectonics
8;SEND_ZIP_TO_CUSTOMER_AFTER_BOOKING;whose furthermore beyond;up physically sashay;COMPLETED_ORDER;futon;joyfully wetly why
9;SEND_ZIP_TO_CUSTOMER_AFTER_BOOKING;positively carp;obnoxiously lid;BOOKING_INFORMATION;suspension crossly a;private rival pro
10;SEND_ZIP_TO_CUSTOMER_AFTER_BOOKING;tremendously quit;oh;BOOKING_INFORMATION;because;unethically that boldly
