id;level;code;name;full_name;native_name;official_code;division_term;is_deleted
1;17560;yippee whether;experienced;following zowie;miserably realistic;among rubric;independence;false
2;16185;weary;entomb before;vary wasabi;yum excitedly monocle;eek duh;briefly neatly;true
3;22692;ew geez ha;unless;scarcely;quarrel;cool to;old against;false
4;5200;times;indeed aha if;notwithstanding when swelter;whose;above ah;grandpa putrefy acidic;false
5;19806;loyally whose;without if meh;past jungle minus;newsprint;gently;sheepishly handy while;true
6;2542;limply aha;instructive;um;mammoth openly cleave;emphasize;from;false
7;26317;um;but cork to;hm incidentally lively;lock;provided vice;championship;true
8;16999;upward yahoo ew;willfully;browse provided going;gosh lively unlike;unto bid frenetically;known whoever ouch;true
9;13022;modulo;gosh out;ha roughly meanwhile;considering or oh;mmm always;off considering opposite;true
10;11;wildly;blindly fondly;questionable whopping;but whoa yahoo;consequently defiantly ecstatic;plain willfully below;true
