id;name;description;permission_grid_jason
1;forswear boohoo shiny;lanky overcharge;where
2;round while;astride;promptly incidentally
3;invite aged;duh footrest where;electric willfully
4;unwelcome;numb label;gloss gosh how
5;whoa;our information;strictly owlishly pendant
6;lest because undergo;institute even petty;furthermore
7;better celebrated in;quarrelsomely;than patiently
8;mmm shy;irresponsible;guilt gadzooks
9;octave however incidentally;blah during except;lobotomise certainly sarong
10;exacerbate plus;obscure lucky compassionate;lowball bloom cheerfully
