id;name;description;can_do_retail;is_org_division;config_jason;tree_depth
665faf1a-4ae3-4667-a57b-aeed649337bb;inasmuch boo yowza;justly before yuck;true;false;destock;32551
a16b67ee-15c3-4cb4-84ce-b955f5d810fc;mentor;which;true;true;pessimistic;27475
843f6932-6503-4856-980c-3b9dc398dfa1;yet account;parched;true;false;unless;15422
2c456e1c-d650-4301-8c33-a6ae9b784d8a;pivot aw rally;defenseless nectarine pro;true;true;neaten;10963
67cc7ea4-84d4-45ab-a1b7-6798d2c76b2e;boo snoop shipper;bid furthermore till;true;true;fund recommendation smoothly;11119
7f0c4d18-80b8-4412-bb14-9a26fe44c9d3;of;a;false;false;inquisitively aside anti;22595
19db7dd9-a21a-446e-9563-26d1b97dfd38;vaguely border;chiffonier yarmulke westernize;true;true;between;8666
cf2cf8da-d9dc-4314-a010-db2192b4aee4;airmail obscure;expostulate;false;false;properly;22813
01490ef8-bd5b-4bb1-8f2f-79640bd94d1b;not while;dishonor controvert phew;true;true;behest upon violin;14619
d16da562-c5bf-4a55-8142-74ca7da3789d;which;drat;false;false;tributary pfft gut;23510
