id;status;won_date;sent_award_to_player_at;sent_award_to_player_by;player_received_the_award_at;play_source_time
fb590b73-b745-4771-9b11-fa09241e5b89;PLAYING;2024-10-21T13:23:51;2024-10-21T09:03:50;with meanwhile;2024-10-21T06:06:42;beside essential scuttle
5781e6af-5554-4d81-baba-e85490d9db61;READY_TO_PLAY;2024-10-21T04:05:47;2024-10-21T17:01:18;ha mechanically gratefully;2024-10-21T12:42:35;motionless
2980a6d1-5356-4183-973e-72749ff7ce58;READY_TO_PLAY;2024-10-21T09:04:21;2024-10-21T15:50:53;dispose even inside;2024-10-20T21:21:58;zowie
306436ca-108e-461e-9f38-b3fa1be58b2f;PLAYING;2024-10-21T07:56:40;2024-10-21T01:09:46;splurge exactly till;2024-10-21T15:17:35;woot
6522084c-f580-4417-a0eb-7c11653a7d24;READY_TO_PLAY;2024-10-21T11:54:34;2024-10-20T19:40:38;whoa boggle;2024-10-21T08:44:42;amid through
c77ec35b-8d1d-4094-95e6-2c81cb53d22d;PLAYING;2024-10-21T09:49:29;2024-10-20T23:39:00;huzzah ah pear;2024-10-20T21:42:49;card
5d0c2cba-e181-4d33-902c-aca6d8998b4f;PLAYING;2024-10-21T16:08:03;2024-10-21T01:36:38;muddy;2024-10-21T05:04:40;dial anenst
cb5c9a55-b136-4b58-ae88-1add407f5870;READY_TO_PLAY;2024-10-21T07:03:59;2024-10-21T14:01:43;worriedly helpfully;2024-10-20T19:41:12;awkwardly until yearly
8015bfb1-07a9-4df9-8579-a4238240c8c0;PLAYING;2024-10-21T15:47:37;2024-10-21T10:59:05;knowledgeably;2024-10-21T07:03:24;repeatedly yowza doubtfully
3be195b8-bdf4-497c-8253-6e1f6d1a16f0;READY_TO_PLAY;2024-10-20T23:06:16;2024-10-21T14:25:37;frenetically when;2024-10-21T09:09:22;nicely till terrible
