id;data_source_mapping_type;keyword;property;title
1;BOOKING_INFORMATION;request large;grown;upwardly hmph inferior
2;COMPLETED_ORDER;bicycle marten;meh;zowie unethically yearly
3;COMPLETED_ORDER;fervently mid unexpectedly;yuck;hm
4;COMPLETED_ORDER;deeply;fooey except round;sit
5;COMPLETED_ORDER;hmph valiantly grimy;impassioned when;yet since
6;BOOKING_INFORMATION;wearily yahoo selfishly;known behest;woot elliptical yesterday
7;BOOKING_INFORMATION;meanwhile tremendously restfully;gadzooks midst zen;voluntarily fail
8;COMPLETED_ORDER;know that;jubilantly across;yum extroverted gah
9;BOOKING_INFORMATION;unaccountably vulgarise;official;actually considering
10;BOOKING_INFORMATION;tightly;yippee;but
