id;zip_action;name;template_id;data_source_mapping_type;template_data_mapping;target_urls
1;SEND_ZIP_TO_CUSTOMER_AFTER_BOOKING;puppet;advancement;COMPLETED_ORDER;fooey lest eek;into besides
2;SEND_ZIP_TO_CUSTOMER_AFTER_BOOKING;blah between;psst jubilantly and;BOOKING_INFORMATION;noted;kiddingly truly
3;SEND_ZIP_TO_CUSTOMER_AFTER_BOOKING;ack out meanwhile;hovercraft aw;BOOKING_INFORMATION;tall madly gadzooks;besides suspiciously
4;SEND_ZIP_TO_CUSTOMER_AFTER_BOOKING;segregate everlasting superb;supposing duh over;BOOKING_INFORMATION;shinny;fully
5;SEND_ZIP_TO_CUSTOMER_AFTER_BOOKING;loftily gadzooks nor;obsess safely although;COMPLETED_ORDER;pace;drive scuffle usually
6;SEND_ZIP_TO_CUSTOMER_AFTER_BOOKING;ah provided duh;concerning gently cluttered;COMPLETED_ORDER;fast;everlasting
7;SEND_ZIP_TO_CUSTOMER_AFTER_BOOKING;augment underneath;blah;COMPLETED_ORDER;exactly;disrespect not
8;SEND_ZIP_TO_CUSTOMER_AFTER_BOOKING;substantiate whenever address;jellyfish;BOOKING_INFORMATION;yowza;complication oof militate
9;SEND_ZIP_TO_CUSTOMER_AFTER_BOOKING;instead that yippee;as brr separate;COMPLETED_ORDER;despite obnoxiously;flash
10;SEND_ZIP_TO_CUSTOMER_AFTER_BOOKING;address marimba;challenge without tenement;COMPLETED_ORDER;opposite boulevard;considering populist
