id;name;slug;description;is_jello_supported
1;glaring spherical;gym naturally;excellent instead effector;true
2;until ferociously;foolishly;really sweetly;false
3;traduce;er ugh;willfully reconsideration;false
4;heroine storyboard gah;pfft truly;oh winding;true
5;calmly smoke;entire ugh;malfunction whoever minus;true
6;er doodle;determined since;ew;false
7;aside;why;geez opposite;false
8;comparison gadzooks;including cautious;goose medium hastily;true
9;instead ew;gift pear ah;chasuble gosh;true
10;out innocently yum;separately;scarper;true
