id;provider;provider_app_id;name;slug;is_enabled
32794783-bfdb-4e35-b70c-7b6c2c41751b;JELLO;emulsify evince countess;enroll bobble;supposing after;true
ee42f4cf-0f47-448f-8d83-210703f6ef83;OTHER;round govern;queasily;deselect;true
c77cf8e2-c7fe-444a-98c6-bff27871960a;OTHER;phew;dreamily plus;put less dependent;false
87cc89d7-8061-41e0-9795-35c0dd8484b9;JELLO;dicker weighty quietly;term;jot investigate pace;false
8b34f5c6-4d1f-4e3c-9cbd-d87dc6181b60;JELLO;quietly strident er;pertain ouch boggle;kinase;false
228d699c-6c08-4f5d-9104-fb593c0164d1;JELLO;hastily whack now;fairly;authorized eggplant;true
4a6d789b-cbd2-41b2-b10a-eb1e73d2ab17;OTHER;despite;colligate;vainly;false
1f2d9fab-4648-4901-a09b-113582108262;OTHER;as before spiffy;veg;scowl usually out;false
6c24be05-bae8-4b05-91ca-49a000fc1c33;OTHER;ick;by;garrote ill-fated;true
fe69540f-5f7b-4624-b466-e9dbb9597315;OTHER;apropos;comb poorly;iterate transom likely;true
