id;level;code;name;full_name;native_name;official_code;division_term;is_deleted
1;2546;apud whenever phooey;shirk early;tectonics;graffiti separately;similar inasmuch yet;cellar;true
2;25092;independence;although hmph;unbalance provided;entry now;unimportant;sandy alongside;true
3;4458;astride;next;er;athwart;halt between when;with haircut;false
4;31146;officially;amid;monthly;who or homeschool;scowl imaginative;truly internal;false
5;9989;solemnly beneath;sin toward;greedily like cluttered;strident tenement;tame disgorge angelic;likely;true
6;12969;probe willow;sunder;than;blah sarcastic;mundane;encode unethically stylish;true
7;23278;nor;however;yahoo;lest know;gummy;hmph;false
8;9335;ack;sans yowza;phooey um excepting;via shrilly ugh;pointed account;reservation decryption male;false
9;10214;account exalted;for;unit boohoo;acidly reward drain;impish miserably phooey;phew;true
10;7186;even shaft;limply far;narrow;commonly blah swear;tray whose inasmuch;reassemble;false
