id;name;slug;description;permission_grid_jason
1;yet consequently inasmuch;outflank phew;between commonly unabashedly;necklace instead
2;proofread;aw obnoxiously;colorize weep uh-huh;yuppify satisfy insist
3;furthermore;afore;knowledgeably or yowza;far
4;sadly yum traduce;rough crossly;as;indeed
5;below at;ravage allegation;pricey although;metal conservation hm
6;that quarrelsomely;outflank excluding;fairly rubbery but;um obediently
7;though necessary;disarm;apologise;wry that
8;character off;dividend fund pomelo;amongst from;mediocre sneak along
9;screw fundraising;ick;hypothesize;yahoo intensely elegantly
10;emergent;absent why;lyre freely repossess;finally
