id;name;description_heitiga
91f1867d-9731-4065-924e-c26b0c95da69;now hastily searchingly;majestic than beloved
81802425-4328-479f-90c6-6c7d6b636cf8;airbus ah gadzooks;adrenalin happy-go-lucky similar
f607a796-ebb0-442e-985b-1adc9d312336;timely bid;settle
0e3bd06e-6ac5-4f20-92ce-16058051c676;since consequently;jealously fervently
713b1eb0-b4cb-4f46-89b8-122711098ef2;opposite;forsaken director
f959c18b-f830-4c41-9f6f-ad657e980acf;phony ick splash;apt mealy economise
72a32971-65b8-415b-8add-3438888185f1;per phooey;boo musty
1f9ac4ca-39fe-4d93-9a15-fed204b6c68c;classic mid;list matter
ef813286-110b-4f81-8630-a7c481cb1ca9;confound as next;where
80c214e7-1cb7-4e02-846c-2ce6df1c11b2;dramatize ruin;boohoo puritan circular
