id;code;name;content_heitiga;discount_type;discount_rate;scope;is_individually_used_only;usage_life_time_limit;usage_limit_per_user;usage_quantity;minimum_spend;maximum_spend;can_be_collected_by_user;sale_price_from_date;sale_price_to_date;publication_status;published_date
e99f274f-c614-4273-9835-68702beeaa06;via inculcate whereas;smart;meh awesome make;BY_FIXED_AMOUNT;8112.07;SPECIFIED_PRODUCTS;false;25857;23497;10047;9659.5;27659.71;false;2024-10-21;2024-10-21;PUBLISHED;2024-10-21T07:43:40
2811d4da-bba8-414d-b6da-6cdef13a9988;rich;gad untidy;beard;BY_FIXED_AMOUNT;6174.09;SPECIFIED_PRODUCTS;true;26290;3749;408;798.04;13920.08;false;2024-10-21;2024-10-21;PUBLISHED;2024-10-20T20:46:51
4ee4e0b0-1dd5-4633-bc13-30d3557a67de;before hmph stable;obediently;bathrobe snow;BY_PERCENT;22054.4;ALL_PRODUCTS;false;29559;29747;11651;19144.03;15554.82;false;2024-10-20;2024-10-21;PUBLISHED;2024-10-21T11:24:04
66c0800b-c476-4d77-98d6-14fd5dfa400e;spherical;so inasmuch;underneath;BY_FIXED_AMOUNT;20642.57;SPECIFIED_PRODUCTS;true;22909;12393;981;31790.64;20885.03;true;2024-10-20;2024-10-21;PUBLISHED;2024-10-21T09:40:53
5bf083ec-1eff-4ae0-a66a-bc7387cc6d95;woot;gah closely;than partial staid;BY_PERCENT;7246.71;ALL_PRODUCTS;true;23493;18284;20451;25630.45;25641.49;true;2024-10-21;2024-10-21;DRAFT;2024-10-20T18:39:49
48317750-318d-4d22-8bc1-73cf23b76791;scary agreeable gift;hyphenation huddle however;chiffonier behind;BY_PERCENT;23087.91;SPECIFIED_PRODUCTS;false;3268;5546;30289;19878.07;22880.16;true;2024-10-21;2024-10-21;DRAFT;2024-10-20T19:13:51
f41064d9-1ee0-4794-aa6c-cc76d0724e1f;lyre;scarily welcome next;smuggle yuck;BY_PERCENT;27749.57;ALL_PRODUCTS;true;18676;21939;12754;24246.09;5940.47;true;2024-10-20;2024-10-21;DRAFT;2024-10-21T10:13:25
dc3a496f-d81e-4039-90d2-a58d1b660469;bobble;very given;stealthily before drat;BY_PERCENT;24280.63;SPECIFIED_PRODUCTS;true;1926;19459;10723;6959;12448.45;true;2024-10-21;2024-10-21;DRAFT;2024-10-21T02:54:53
a958c908-d31d-47ed-bf86-a567e1493803;er;gee however midst;mockingly;BY_PERCENT;8795.03;SPECIFIED_PRODUCTS;false;16284;19202;12839;21379.37;5351.54;false;2024-10-20;2024-10-21;DRAFT;2024-10-21T00:27:06
41c4a2f1-7f1a-4dd9-95a2-e1b9b9f3a90a;abaft outrageous untimely;reckon;inasmuch bemuse;BY_FIXED_AMOUNT;25412.58;ALL_PRODUCTS;false;4210;20529;14479;22784.02;25987.27;false;2024-10-21;2024-10-21;DRAFT;2024-10-21T12:13:07
