id;zns_action;name;template_id;data_source_mapping_type;template_data_mapping;target_urls
1;SEND_ZNS_TO_HOUSEKEEPING_AFTER_BOOKING;sardonic in;zowie between coolly;CUSTOMER_INFORMATION;reorganisation;iterate lone
2;SEND_ZNS_TO_CUSTOMER_AFTER_BOOKING;yet circa;blossom declaration;BOOKING_INFORMATION;upon cool the;address amazing tensely
3;SEND_ZNS_TO_CUSTOMER_AFTER_BOOKING;bewail deafening but;duh;COMPLETED_ORDER;misguided aboard amid;transom
4;SEND_ZNS_TO_CUSTOMER_AFTER_BOOKING;experience;yieldingly cautiously ugh;COMPLETED_ORDER;likewise;what against above
5;SEND_ZNS_TO_CUSTOMER_AFTER_BOOKING;vision clearly;for;BOOKING_INFORMATION;how painfully supposing;comfortable anti a
6;SEND_ZNS_TO_CUSTOMER_AFTER_BOOKING;following swath;whenever;BOOKING_INFORMATION;bitterly brightly;wholly phooey
7;SEND_ZNS_TO_HOUSEKEEPING_AFTER_BOOKING;sedately throughout;whoa;CUSTOMER_INFORMATION;criminal corrupt;venture dispose carelessly
8;SEND_ZNS_TO_CUSTOMER_AFTER_BOOKING;mealy;afore bob;CUSTOMER_INFORMATION;gentle reboot likely;whereas plus er
9;SEND_ZNS_TO_HOUSEKEEPING_AFTER_BOOKING;obnoxiously boo slather;adventurously;BOOKING_INFORMATION;twist now;override
10;SEND_ZNS_TO_HOUSEKEEPING_AFTER_BOOKING;curiously;ah misfire whoever;CUSTOMER_INFORMATION;or;likewise fiercely apud
