id;title;top_content;content;bottom_content;prop_title_mapping_jason;data_source_mapping_type;target_urls
1;carefully um;disposer breed sternly;respectful freely;geez;finally;COMPLETED_ORDER;purple near
2;gah;construe;e-mail upon with;even unnecessarily;innovate;COMPLETED_ORDER;fathom for shipper
3;baseboard;gah;react nor abaft;midst yuck uh-huh;always;CUSTOMER_INFORMATION;blah about mmm
4;fiddle;to stigmatize;what trim;true ouch quietly;innovate aw;COMPLETED_ORDER;those suburban unless
5;knowingly;pace that;worth or;wherever;talkative;COMPLETED_ORDER;indeed tall
6;of toothpick;worth;dearly;when between supposing;shabby outside;BOOKING_INFORMATION;pro worth
7;tentacle awkwardly;curiously and;footrest yippee wedge;geez yahoo beautifully;orientate;BOOKING_INFORMATION;before trash positively
8;yowza;whose abandoned;twist amongst oh;out;amidst;CUSTOMER_INFORMATION;sunbeam colorless meanwhile
9;unique uh-huh imaginary;carefree ectoderm;stabilise backburn meh;pfft too;austere hmph firsthand;COMPLETED_ORDER;trivial if qualified
10;outrageous;considering lazily;questionable midst waterlogged;effector printer;beloved given;CUSTOMER_INFORMATION;similar strange
