id;name;discount_type;discount_rate;scope
1;verbally roughly drat;BY_FIXED_AMOUNT;18014.17;ALL_PRODUCTS
2;nearly inwardly;BY_PERCENT;26319.76;SPECIFIED_PRODUCTS
3;frenetically that qua;BY_PERCENT;10597.39;ALL_PRODUCTS
4;unless noisily;BY_PERCENT;8438.83;SPECIFIED_PRODUCTS
5;divert since;BY_FIXED_AMOUNT;1035.34;SPECIFIED_PRODUCTS
6;huzzah large;BY_PERCENT;7336.47;SPECIFIED_PRODUCTS
7;fooey;BY_PERCENT;27964.31;ALL_PRODUCTS
8;given haunting fine;BY_PERCENT;16702.1;SPECIFIED_PRODUCTS
9;parched molasses shakily;BY_PERCENT;1339.03;ALL_PRODUCTS
10;yum skyline;BY_PERCENT;4853.08;SPECIFIED_PRODUCTS
