id;name;weight;description;from_date;to_date;is_enabled;separate_winning_by_periods
d33a95fc-babf-43d7-94d1-aba93ab7ec36;huzzah noon but;23784;functional ack;2024-10-21;2024-10-21;false;true
76295451-b8c7-4b78-a86a-0a375a03364b;angrily surprise drat;4007;yum psst possible;2024-10-20;2024-10-20;false;true
0895887e-bfa0-43e2-8e2b-96dbe23fc09d;castanet boo instead;14730;charlatan;2024-10-21;2024-10-21;false;false
0d508814-c6fe-40e7-b1cb-870878cdc943;metallic proper boo;10026;whose putrid inquisitively;2024-10-21;2024-10-21;true;true
65407061-078b-4eb6-bb2f-1775558c59cf;but;2562;fiddle gee separately;2024-10-21;2024-10-20;true;true
cc42c9b6-8c33-4855-8070-ba63d16e5864;phooey duh once;7343;aboard;2024-10-21;2024-10-21;true;true
c037db7d-149e-4ba8-b88f-02edb72849df;esteemed likewise;17160;ack over yahoo;2024-10-20;2024-10-20;false;true
516025f9-65f6-4e52-abba-b881a031100b;hmph why;23371;overspend;2024-10-21;2024-10-21;true;true
2268a6a5-2d2c-40db-8caf-f38b108f2121;cautiously quick sunbathe;28705;realistic ouch lively;2024-10-21;2024-10-21;true;true
c21ef15c-0748-4dbd-9dce-2f6f0d8f6b82;how shoot abacus;10091;gah though whoever;2024-10-21;2024-10-21;true;false
