id;status;won_date;sent_award_to_player_at;sent_award_to_player_by;player_received_the_award_at;play_source_time
0a07ad1b-c5df-412d-a16c-f9a585def72d;READY_TO_PLAY;2024-10-21T05:07:05;2024-10-21T10:06:10;toward tensely;2024-10-21T04:06:55;bowling
b9886ad0-0738-4eb3-9f34-c9a53709c5c4;READY_TO_PLAY;2024-10-21T09:52:27;2024-10-21T05:23:44;yippee;2024-10-21T13:13:50;draft regular
fec5fd80-f447-41ab-b3bd-96be15ec9313;READY_TO_PLAY;2024-10-21T11:11:09;2024-10-21T15:59:33;taut operating after;2024-10-21T07:17:03;likewise
de7bee1b-6ee8-44ea-b006-58525c478c4d;PLAYING;2024-10-21T03:35:37;2024-10-20T19:02:52;citizen phew trash;2024-10-21T16:10:41;er cautiously pfft
5841ae4d-c238-4f9c-9a8e-37a1ab3cf0c3;PLAYING;2024-10-20T23:03:26;2024-10-20T18:52:39;gee aw;2024-10-21T01:03:55;familiar
d6f80121-0353-407c-b705-32ad6411d124;PLAYING;2024-10-21T09:52:12;2024-10-21T03:09:52;indeed lid lest;2024-10-21T06:03:38;boo lone furthermore
5cea7dd7-9757-46b1-a97a-e7e0ebe4fcf1;PLAYING;2024-10-21T17:04:58;2024-10-21T02:42:26;plastic damp adaptation;2024-10-21T03:55:18;worth junior
b9bb015a-c1cf-4ba5-8a4b-bf6db5bc58c4;READY_TO_PLAY;2024-10-21T04:05:31;2024-10-20T20:32:43;while;2024-10-21T03:57:01;sharply
cc15260a-e7ab-4745-8750-6c403dc99d06;READY_TO_PLAY;2024-10-20T23:31:19;2024-10-20T17:55:08;facilitate;2024-10-21T11:47:13;mothball
cd7ef44c-5c09-4476-9e47-3937c27d7889;PLAYING;2024-10-21T14:53:57;2024-10-21T01:13:10;boohoo round beloved;2024-10-21T00:35:19;puzzled why
