id;name;description_heitiga;coordinate;code;status;is_enabled;operator_id
0a68ec6c-83bb-481f-81ba-3c9912a45ae2;pro frankly meh;lively until;amid;railway;INACTIVE;true;96da40bb-0516-498e-8a49-db7e10d255d8
1caa4b78-eedc-4360-93f5-7f6927d40974;spherical internationalize;tensely if whistle;blowgun;fuss ferociously;ACTIVE;false;fc9b1700-47d3-4270-a786-d717f522ca9c
99d5c5b8-114b-42c2-949f-bda38e9b3ce1;hearten;harangue who bitterly;ugh stormy;which;ACTIVE;false;2821f64d-addc-4dcc-83b0-2281f8992723
84a0a9bc-d9a1-494c-b64b-a4eede67cf66;mockingly rag;growing forenenst ack;versus linear quinoa;fooey;DISCONTINUED;false;aa4cb616-f789-44cb-a68c-b1b6b9aaa9f0
d1a2c5d0-e5b9-496d-b4ba-fc6daa0fc857;huzzah phooey as;while abseil;unless yahoo;ha testimonial atop;ACTIVE;true;5db1d21e-27c2-4556-a4ac-a431535595c3
64f12bc6-74b4-4a61-aebb-fd25b6963b3a;interviewer vision;idle;ouch;unimpressively;DISCONTINUED;false;db5efe43-754c-4b1b-a30d-4d361dd93ce2
4940cd6c-c7ee-4ef4-917c-abe2b56c21df;aha wherever worth;madly;summer amid marimba;forenenst weighty order;DISCONTINUED;false;ee371b45-f014-48ae-9cc0-60f453c45cbe
d6a3b32e-6153-4c22-bb11-b2d46eb7300f;where;whenever not median;unit boohoo kielbasa;promptly tame ew;INACTIVE;true;a86140ea-3c27-46dc-a331-fdb4559f6c4f
ae71fc49-58c2-4a55-a410-51f89a5f13d8;commonly edible amongst;profuse boohoo zowie;hurtful;medium;INACTIVE;true;9eb78e6f-e322-4a70-a1b5-891a2481fc36
0b0338ae-adf4-4499-8d1b-f85afda434a2;kookily;whoever fabricate;who equal;privilege;ACTIVE;true;1fe71a5b-991a-4629-947d-f89a772a583b
