id;booking_no;note_heitiga;period_type;from_date;to_date;check_in_date;check_out_date;number_of_adults;number_of_preschoolers;number_of_children;booking_price;extra_fee;total_price;booking_status;history_ref_jason
ea64af83-3e07-4077-b8c7-f052783d6819;times;plain;NIGHT;2024-10-21T14:17:32;2024-10-21T13:32:19;2024-10-21T17:11:02;2024-10-20T17:57:38;11315;32484;22697;16310.63;1611.95;3251.18;RESERVED;subtract painfully
970d6a94-05f0-4b5c-b090-e9a9b613cd28;pro among;and daintily upon;NIGHT;2024-10-21T08:08:00;2024-10-21T03:52:58;2024-10-21T10:49:55;2024-10-21T13:51:09;22118;921;31885;24494.92;20584.8;21107.54;BOOKED;sup confusion incidentally
344c11c1-3eae-4255-8a6b-c0ec52d42dae;whose past;honored meadow;NIGHT;2024-10-21T12:58:32;2024-10-21T15:52:56;2024-10-21T08:39:59;2024-10-21T10:09:46;3354;7228;30921;22981.42;7375.03;23528.06;BOOKED;where
a6a04d1e-48e4-42bc-b93e-ee744250c395;spirit inspect;drat submissive;NIGHT;2024-10-21T05:01:00;2024-10-21T07:18:18;2024-10-21T16:48:19;2024-10-20T22:45:12;24342;12766;24492;22453.72;26308.85;24910.85;BOOKED;phew tool braid
4cf55c11-5c94-444a-8997-7e1dc452ead7;instantly;rundown;NIGHT;2024-10-20T23:45:38;2024-10-21T04:45:57;2024-10-21T08:23:09;2024-10-20T21:30:40;18181;8288;8377;382.51;3599.15;32228.61;PENDING;self-reliant oddball except
f416bc85-9c3c-4bf3-8231-889a2d4f499b;along that;only punctuation;NIGHT;2024-10-20T17:36:32;2024-10-21T06:56:49;2024-10-20T23:46:15;2024-10-21T04:02:40;2455;26197;1133;7672.56;7873.02;11140.35;PENDING;quarrelsomely
fc9b1d67-f4ec-4354-b02a-0ad2bbc53faa;contractor electrify;guilty;DAYLIGHT;2024-10-21T10:33:06;2024-10-20T18:49:33;2024-10-20T23:39:18;2024-10-21T16:54:28;9412;26591;20035;26959.67;28772.62;8607.75;RESERVED;yet plastic quirkily
c54c6c3a-c957-4a5f-a208-53eb4c37736d;greatly;gah inasmuch ragged;DAYLIGHT;2024-10-21T11:01:14;2024-10-21T08:43:29;2024-10-21T10:58:49;2024-10-21T12:48:00;7184;1960;5248;28231.5;21980.66;10579.09;BOOKED;contrail
f8991c8e-8e56-4b3d-89c5-87483c478322;darling;luck kindheartedly;DAYLIGHT;2024-10-21T05:21:27;2024-10-21T03:23:19;2024-10-20T23:21:32;2024-10-21T16:12:10;23054;10562;24004;4974;6608.78;12076.98;PENDING;indeed
99ab74b9-4f64-4cd0-bcd4-5bbfb2650615;atop supportive;rapidly;NIGHT;2024-10-21T07:04:51;2024-10-21T12:24:39;2024-10-20T19:12:58;2024-10-21T00:07:59;6790;18820;3459;28980.71;6135.91;7136.84;BOOKED;overreact unless hmph
