id;name;description;hotline;tax_code;contacts_jason;extension_jason;is_enabled;agency_type_id
96da40bb-0516-498e-8a49-db7e10d255d8;divine down;huzzah yet;reiterate;uh-huh tightly;overconfidently upon square;council past among;false;665faf1a-4ae3-4667-a57b-aeed649337bb
fc9b1700-47d3-4270-a786-d717f522ca9c;refute midst nor;horst;reschedule;corral bah apropos;over;to developing;false;a16b67ee-15c3-4cb4-84ce-b955f5d810fc
2821f64d-addc-4dcc-83b0-2281f8992723;yahoo apparatus;meh acknowledge;soupy;aircraft pish amongst;hm pasta;expense;true;843f6932-6503-4856-980c-3b9dc398dfa1
aa4cb616-f789-44cb-a68c-b1b6b9aaa9f0;reprimand why;like triumphantly;ew reckless ha;chiffonier provided;so optimistic whoever;where upbeat upon;false;2c456e1c-d650-4301-8c33-a6ae9b784d8a
5db1d21e-27c2-4556-a4ac-a431535595c3;abaft seemingly;where;under wrongly;deploy freezing doubtfully;strong ouch;pigpen;false;67cc7ea4-84d4-45ab-a1b7-6798d2c76b2e
db5efe43-754c-4b1b-a30d-4d361dd93ce2;atrium;ack shakily log;usefully king;submissive hovercraft;upon for;tasty;true;7f0c4d18-80b8-4412-bb14-9a26fe44c9d3
ee371b45-f014-48ae-9cc0-60f453c45cbe;digital;rag abaft;leap;kindly limited drat;snack;essence;false;19db7dd9-a21a-446e-9563-26d1b97dfd38
a86140ea-3c27-46dc-a331-fdb4559f6c4f;spectacles oh;oily;anticodon even;metabolise boldly;yippee among;anti whereas;false;cf2cf8da-d9dc-4314-a010-db2192b4aee4
9eb78e6f-e322-4a70-a1b5-891a2481fc36;coordination netsuke;definite;following kosher;numb oof underneath;urban;ah rejigger;false;01490ef8-bd5b-4bb1-8f2f-79640bd94d1b
1fe71a5b-991a-4629-947d-f89a772a583b;wheel;cheese;reckon outrageous;for;although;terraform maestro;false;d16da562-c5bf-4a55-8142-74ca7da3789d
