id;name;weight;probability_of_winning;maximum_winning_time;is_winning_time_limited;award_result_type;award_reference;is_default
73afa91b-77e8-49f5-b443-8c07d6b43b44;indeed coaxingly swing;138;4242.65;26866;false;OTHER;scientific bell;false
a6a4ff1c-39b3-4576-b34e-84572f1c6f90;though;19547;21038.65;22902;false;LOST;naughty culminate excluding;false
814edf73-6d47-4dc9-9753-45008fd1ff09;by times;26209;31535.69;17581;true;PRODUCT;frilly or;true
2870e970-7a2f-45dd-8ab5-b15a0d1648f6;designation until fiercely;14449;2357.63;17436;true;LOST;ugh pry object;true
1b4cc1fb-19d8-4770-8624-04403ad42eca;upward however;13820;11928.56;12765;true;PLAY_TIMES;lobotomise instruction;true
fd4f87ed-ad3a-4cd9-b599-69ec092deea9;fuss;12804;24658.56;30045;false;OTHER;messy blink woefully;false
8abd0973-9ae9-4220-8ec8-45c9b0ea48fa;nor provided;4850;17443.03;5142;true;PRODUCT;accountability finally;true
8a8a178e-8166-4c2e-ae9c-a264ff30dc3a;yet healthily;20842;9354.6;29849;true;OTHER;after corporation fen;false
b0fd9faa-4a1b-47ba-8099-1e00c77416ea;misjudge;14234;11502.33;21246;true;PRODUCT;before likewise essence;false
d6d2c74e-9756-44cb-a950-9c268d4ccfe2;till obediently;21734;4032.49;6583;true;OTHER;afore;true
