id;status;won_date;sent_award_to_player_at;sent_award_to_player_by;player_received_the_award_at;play_source_time
0a07ad1b-c5df-412d-a16c-f9a585def72d;READY_TO_PLAY;2024-10-21T05:02:58;2024-10-21T10:02:03;toward tensely;2024-10-21T04:02:48;bowling
b9886ad0-0738-4eb3-9f34-c9a53709c5c4;PLAYING;2024-10-21T09:48:20;2024-10-21T05:19:37;yippee;2024-10-21T13:09:43;draft regular
fec5fd80-f447-41ab-b3bd-96be15ec9313;PLAYING;2024-10-21T11:07:02;2024-10-21T15:55:26;taut operating after;2024-10-21T07:12:56;likewise
de7bee1b-6ee8-44ea-b006-58525c478c4d;COMPLETED;2024-10-21T03:31:30;2024-10-20T18:58:45;citizen phew trash;2024-10-21T16:06:34;er cautiously pfft
5841ae4d-c238-4f9c-9a8e-37a1ab3cf0c3;ALREADY_SENT_AWARD_TO_PLAYER;2024-10-20T22:59:19;2024-10-20T18:48:32;gee aw;2024-10-21T00:59:48;familiar
d6f80121-0353-407c-b705-32ad6411d124;ALREADY_SENT_AWARD_TO_PLAYER;2024-10-21T09:48:05;2024-10-21T03:05:45;indeed lid lest;2024-10-21T05:59:31;boo lone furthermore
5cea7dd7-9757-46b1-a97a-e7e0ebe4fcf1;ALREADY_SENT_AWARD_TO_PLAYER;2024-10-21T17:00:51;2024-10-21T02:38:19;plastic damp adaptation;2024-10-21T03:51:11;worth junior
b9bb015a-c1cf-4ba5-8a4b-bf6db5bc58c4;PLAYED;2024-10-21T04:01:24;2024-10-20T20:28:36;while;2024-10-21T03:52:54;sharply
cc15260a-e7ab-4745-8750-6c403dc99d06;READY_TO_PLAY;2024-10-20T23:27:12;2024-10-20T17:51:01;facilitate;2024-10-21T11:43:06;mothball
cd7ef44c-5c09-4476-9e47-3937c27d7889;COMPLETED;2024-10-21T14:49:50;2024-10-21T01:09:03;boohoo round beloved;2024-10-21T00:31:12;puzzled why
