id;invoice_number;issue_date;due_date;amount
1;mid;2024-10-23T04:06:00;2024-10-23T05:55:32;31074.64
2;regarding before sadly;2024-10-23T14:18:20;2024-10-23T07:09:18;25917.4
3;weight;2024-10-22T22:24:06;2024-10-22T17:58:34;4322.44
4;markup once;2024-10-22T20:09:50;2024-10-23T06:23:29;387.9
5;astride heartfelt;2024-10-22T23:05:30;2024-10-23T03:19:43;11688.51
6;ouch;2024-10-22T18:45:59;2024-10-22T17:42:03;14350.48
7;claw barring SUV;2024-10-23T07:11:16;2024-10-23T07:14:54;3623.16
8;wry;2024-10-23T06:52:36;2024-10-23T13:09:29;14171.2
9;progress;2024-10-23T02:55:03;2024-10-23T16:03:21;10390.74
10;even;2024-10-22T17:10:44;2024-10-23T15:19:13;28555.9
