id;invoice_number;issue_date;due_date;amount
1;owlishly below;2024-10-23T03:27:48;2024-10-23T07:51:50;17578.71
2;glimmer since;2024-10-22T17:53:08;2024-10-23T16:49:41;5540.87
3;separately;2024-10-23T05:54:12;2024-10-23T16:44:13;15923.13
4;between not how;2024-10-23T04:49:10;2024-10-22T20:57:04;5359.54
5;gee;2024-10-22T19:11:41;2024-10-22T18:10:21;21063.45
6;instantly;2024-10-23T08:44:54;2024-10-23T00:02:57;11080.65
7;although miserably whether;2024-10-22T19:09:51;2024-10-23T16:09:26;16752.48
8;flat;2024-10-23T03:37:45;2024-10-22T19:04:05;20797
9;folklore spotless;2024-10-23T07:31:46;2024-10-23T09:22:00;25844.91
10;capitalise upon pip;2024-10-23T01:49:32;2024-10-23T06:41:03;3182.69
