id;invoice_number;issue_date;due_date;amount
1;pronoun;2024-10-23T13:36:14;2024-10-22T19:01:19;3387.46
2;malfunction;2024-10-23T12:51:50;2024-10-22T22:57:55;15178.2
3;instructor boom commercial;2024-10-22T23:59:51;2024-10-23T13:35:04;8738.31
4;ick;2024-10-23T03:08:02;2024-10-23T10:55:11;7323.85
5;keenly granular;2024-10-22T21:17:10;2024-10-23T05:53:50;6661.93
6;shampoo warm;2024-10-23T13:38:55;2024-10-23T12:24:39;3106.52
7;kosher approach concrete;2024-10-23T07:41:10;2024-10-23T07:06:11;28399.52
8;glaring wide even;2024-10-23T10:21:32;2024-10-23T16:57:54;27440.46
9;what gosh cruelly;2024-10-23T11:59:14;2024-10-22T19:24:07;8540.39
10;battle service;2024-10-23T09:31:11;2024-10-22T23:59:02;21334.25
