id;invoice_number;issue_date;due_date;amount
1;cop-out hawk;2024-10-22T23:03:29;2024-10-22T23:27:35;11342.35
2;if emergent how;2024-10-22T18:42:38;2024-10-22T19:12:05;17488.78
3;frankly;2024-10-22T20:29:13;2024-10-23T13:08:38;9331.08
4;harmful;2024-10-23T04:03:02;2024-10-23T05:00:09;19905.58
5;lest guest whenever;2024-10-22T17:41:30;2024-10-22T22:31:43;28248.73
6;blah than suspension;2024-10-23T06:16:03;2024-10-23T14:46:20;3457.57
7;intend;2024-10-22T20:19:19;2024-10-23T01:30:40;25938.05
8;brr;2024-10-22T17:23:23;2024-10-23T15:50:58;27720.74
9;when sport round;2024-10-23T00:35:01;2024-10-23T03:10:36;30024.29
10;quarrelsomely;2024-10-23T13:19:16;2024-10-23T02:57:32;22136.4
