id;invoice_number;issue_date;due_date;amount
1;sensitize which;2024-10-22T17:30:39;2024-10-23T10:31:43;26136.27
2;volleyball greedily;2024-10-22T19:39:29;2024-10-23T07:20:53;4027.71
3;who reassuringly inure;2024-10-22T20:42:07;2024-10-23T14:13:52;14951.91
4;versus providence very;2024-10-23T08:02:10;2024-10-23T11:04:27;18694.57
5;which instead er;2024-10-22T19:51:36;2024-10-22T21:12:36;32521.77
6;harangue;2024-10-22T23:42:09;2024-10-23T01:49:16;20002.22
7;drain;2024-10-23T04:16:21;2024-10-23T16:08:55;26780.63
8;wolf charter;2024-10-23T12:53:34;2024-10-23T10:43:05;8424.97
9;oh huzzah psst;2024-10-23T05:09:08;2024-10-23T01:26:11;26258.74
10;wrongly;2024-10-23T10:36:36;2024-10-22T16:43:27;28736.54
