id;invoice_number;issue_date;due_date;amount
1;graceful;2024-10-22T18:18:53;2024-10-23T15:01:53;650.31
2;publicize;2024-10-22T17:20:05;2024-10-23T01:42:13;21968.11
3;when blink boohoo;2024-10-22T21:22:42;2024-10-23T04:28:46;1203.87
4;slow via dense;2024-10-22T22:19:50;2024-10-23T02:55:33;31060.02
5;foolishly shirk;2024-10-23T16:30:35;2024-10-22T17:19:33;28998.21
6;while greedily offend;2024-10-22T20:02:21;2024-10-23T09:35:10;7275.38
7;scientific despite;2024-10-22T20:29:03;2024-10-23T06:40:41;7848.09
8;whether frankly pfft;2024-10-22T21:31:04;2024-10-22T19:56:25;10828.67
9;aha advancement intend;2024-10-23T16:09:00;2024-10-22T22:40:29;21098.77
10;pish when pfft;2024-10-22T19:59:42;2024-10-22T17:17:58;26410.71
