id;invoice_number;issue_date;due_date;amount
1;taxicab gallivant;2024-10-23T01:52:01;2024-10-23T02:53:28;15715.11
2;coin drum;2024-10-23T10:55:08;2024-10-23T14:20:53;6198.24
3;till;2024-10-23T07:24:51;2024-10-23T14:41:37;24877.26
4;since;2024-10-23T08:01:55;2024-10-22T18:41:20;26640.39
5;failing minus satirise;2024-10-23T07:02:33;2024-10-23T03:13:24;11418.48
6;numb;2024-10-23T07:34:37;2024-10-23T15:52:24;26288.77
7;furthermore;2024-10-23T05:15:22;2024-10-23T01:11:06;1349.06
8;gracefully gradient firsthand;2024-10-22T17:43:25;2024-10-23T06:51:07;14846.08
9;along helpfully bah;2024-10-23T07:03:41;2024-10-23T15:56:46;24823.45
10;zany;2024-10-23T12:42:56;2024-10-23T07:46:28;6451.43
