id;invoice_number;issue_date;due_date;amount
1;upbeat;2024-10-23T06:53:08;2024-10-22T18:31:55;28548.03
2;indeed coast;2024-10-23T02:26:51;2024-10-23T07:15:13;25914.96
3;talkative positively;2024-10-23T04:45:25;2024-10-23T11:13:28;14331.52
4;median bank daintily;2024-10-23T01:16:41;2024-10-22T21:49:28;2476.76
5;pacemaker yearly psst;2024-10-22T21:25:05;2024-10-23T04:16:04;25056.59
6;quirkily;2024-10-23T15:41:40;2024-10-23T09:29:20;2059.19
7;vacantly ouch gleefully;2024-10-22T22:16:31;2024-10-22T22:17:01;12885.1
8;twist;2024-10-23T11:11:24;2024-10-23T01:43:15;19331.33
9;ouch sometimes plan;2024-10-23T13:46:15;2024-10-23T03:21:18;16933.95
10;per dependency;2024-10-23T00:43:14;2024-10-23T06:20:55;13381.12
