id;invoice_number;issue_date;due_date;amount
1;octave moralise;2024-10-23T13:01:55;2024-10-22T20:07:34;27304.56
2;needily narrowcast phew;2024-10-22T18:42:58;2024-10-22T19:30:44;4260.17
3;uh-huh near;2024-10-23T01:26:07;2024-10-23T07:11:27;16652.73
4;fleck thunderbolt;2024-10-23T12:57:11;2024-10-23T02:03:02;28276.45
5;custody epic helpfully;2024-10-22T23:49:58;2024-10-23T14:56:27;1181.84
6;debit;2024-10-22T19:39:07;2024-10-22T21:02:32;28089.18
7;instead um exactly;2024-10-23T11:55:36;2024-10-22T20:21:35;13622.9
8;motionless mountain;2024-10-22T17:07:05;2024-10-23T05:36:29;29692.7
9;mould per;2024-10-22T23:18:05;2024-10-23T05:09:24;32684.23
10;yuck if;2024-10-23T06:02:01;2024-10-23T01:19:33;1065.76
