id;invoice_number;issue_date;due_date;amount
1;as;2024-10-23T07:03:38;2024-10-22T19:40:12;13918.54
2;which ouch;2024-10-23T05:34:01;2024-10-22T23:50:49;1882.68
3;but ew excepting;2024-10-22T20:16:26;2024-10-23T04:46:15;11982.66
4;creator instead furthermore;2024-10-22T18:39:30;2024-10-22T19:23:12;6315.92
5;and meanwhile gosh;2024-10-23T13:30:54;2024-10-23T14:39:25;12262.33
6;whole yuck;2024-10-23T09:05:18;2024-10-22T21:30:11;31685.68
7;after quarrelsomely collaborate;2024-10-23T03:43:57;2024-10-23T11:39:49;27449.92
8;for foolhardy youthfully;2024-10-23T12:52:41;2024-10-23T11:04:39;20294.8
9;casket;2024-10-23T10:17:01;2024-10-23T08:24:08;28436.85
10;because ample;2024-10-23T11:24:26;2024-10-23T06:53:44;20766.62
