id;invoice_number;issue_date;due_date;amount
1;gah furthermore;2024-10-23T01:47:15;2024-10-23T01:43:35;12159.24
2;quarrelsomely ick forenenst;2024-10-23T11:41:57;2024-10-23T12:57:55;7982.04
3;joshingly masterpiece;2024-10-22T23:07:28;2024-10-23T02:21:16;4700.23
4;perp implode;2024-10-23T17:20:56;2024-10-23T08:10:40;8581.75
5;shoot gullible including;2024-10-22T22:06:49;2024-10-23T17:00:49;15573.02
6;until oh but;2024-10-23T05:22:12;2024-10-23T10:51:11;5199.86
7;when now;2024-10-23T12:12:03;2024-10-23T11:31:32;27181.23
8;ugh;2024-10-22T21:30:05;2024-10-23T02:38:16;26369
9;firm;2024-10-23T16:13:33;2024-10-22T21:16:29;12680.19
10;following crackle puritan;2024-10-23T16:54:19;2024-10-23T09:26:01;2632.48
