id;invoice_number;issue_date;due_date;amount
1;utter;2024-10-22T21:30:53;2024-10-23T07:07:09;5074.55
2;consequently woot;2024-10-23T08:48:43;2024-10-22T23:46:49;6308.79
3;tooth uselessly;2024-10-23T13:44:28;2024-10-23T16:07:38;13171.71
4;reorient tight;2024-10-23T05:51:57;2024-10-22T22:13:28;18572.96
5;strait curry;2024-10-23T00:03:31;2024-10-23T13:15:53;27774.11
6;tousle fooey but;2024-10-22T22:21:54;2024-10-23T08:48:20;10315.16
7;whoever;2024-10-22T20:39:10;2024-10-23T08:11:26;1208.44
8;consequently;2024-10-23T04:29:06;2024-10-22T19:38:30;25200.55
9;yum fooey commonly;2024-10-23T06:13:35;2024-10-23T16:20:40;12518.81
10;fabricate eek how;2024-10-23T04:35:40;2024-10-23T14:09:43;15230.03
