id;invoice_number;issue_date;due_date;amount
1;tenement;2024-10-23T16:20:46;2024-10-23T11:07:53;31598.95
2;prohibition vice;2024-10-23T16:24:09;2024-10-22T20:04:27;7991.21
3;pecan as satirise;2024-10-23T00:19:06;2024-10-23T04:27:52;12502.59
4;buttery circa who;2024-10-23T11:40:43;2024-10-23T11:33:43;8880.89
5;rag uproot;2024-10-22T19:06:50;2024-10-23T02:07:09;26703.01
6;brush;2024-10-23T04:09:02;2024-10-23T13:43:24;19607.11
7;encode hm;2024-10-23T12:58:24;2024-10-23T07:06:37;24825.51
8;uh-huh;2024-10-23T10:24:50;2024-10-22T19:43:35;32707.82
9;deed unkempt inasmuch;2024-10-23T06:21:19;2024-10-22T21:04:34;32022.77
10;backburn hourly;2024-10-23T00:52:01;2024-10-23T07:20:22;19159.68
