id;invoice_number;issue_date;due_date;amount
1;ouch accredit inasmuch;2024-10-23T16:51:23;2024-10-23T03:03:12;1425.17
2;uncomfortable;2024-10-22T20:54:08;2024-10-22T22:55:07;29323.83
3;impossible however legend;2024-10-22T19:15:36;2024-10-23T02:25:08;17768.67
4;ouch;2024-10-23T04:03:25;2024-10-23T01:04:37;5413.82
5;ha oof psst;2024-10-23T12:17:55;2024-10-23T14:55:12;3554.65
6;but horn;2024-10-23T10:57:13;2024-10-23T03:48:06;15080.49
7;after;2024-10-23T05:24:24;2024-10-22T20:27:06;24509.24
8;sharply ew;2024-10-22T23:31:49;2024-10-23T10:36:59;27121.28
9;opposite graffiti yahoo;2024-10-23T17:17:55;2024-10-22T22:00:27;29470.3
10;lest popularity extent;2024-10-23T07:12:45;2024-10-22T20:57:13;4000.76
