id;invoice_number;issue_date;due_date;amount
1;boohoo corny;2024-10-23T05:38:15;2024-10-23T06:03:02;4988.58
2;energetically before than;2024-10-22T20:03:24;2024-10-23T11:45:50;22371.14
3;gosh;2024-10-23T03:08:19;2024-10-22T23:36:04;27033.01
4;below;2024-10-22T18:32:39;2024-10-22T21:55:48;8443.54
5;loyally coolly stranger;2024-10-22T23:50:30;2024-10-23T06:18:50;7055.67
6;before incidentally;2024-10-22T20:49:40;2024-10-22T19:34:35;24490.58
7;dispose;2024-10-22T18:58:34;2024-10-23T05:48:49;8613.08
8;surprise stylish;2024-10-23T11:30:52;2024-10-23T09:04:26;21624.27
9;ha why;2024-10-22T19:36:00;2024-10-23T14:32:09;196.03
10;drat easily however;2024-10-23T13:23:20;2024-10-22T19:58:00;13127.99
