id;invoice_number;issue_date;due_date;amount
1;unripe unpleasant phooey;2024-10-23T05:18:13;2024-10-22T23:26:43;25338.23
2;variable aha;2024-10-22T23:01:04;2024-10-23T04:45:25;31830.41
3;rudely indeed blah;2024-10-23T12:15:28;2024-10-23T03:54:37;16152.3
4;scale;2024-10-23T08:06:14;2024-10-23T03:07:16;11760.86
5;spark;2024-10-23T11:08:53;2024-10-23T02:20:32;19449.14
6;finally;2024-10-23T17:21:02;2024-10-23T15:55:57;21728.45
7;naughty nicely;2024-10-23T02:57:31;2024-10-23T04:22:53;30554.75
8;yahoo joyously even;2024-10-23T17:00:09;2024-10-23T01:44:16;20581.19
9;concerned blank phooey;2024-10-23T06:29:51;2024-10-23T14:13:41;17305.7
10;case;2024-10-23T02:58:56;2024-10-23T19:03:52;3547.83
