id;invoice_number;issue_date;due_date;amount
1;epic coordinated prickly;2024-10-23T14:33:04;2024-10-23T16:02:01;20404.56
2;yak fat;2024-10-22T19:00:57;2024-10-22T23:30:27;2252.78
3;blah modulo upward;2024-10-23T16:10:49;2024-10-23T01:18:59;23623.55
4;whopping ha;2024-10-22T22:09:19;2024-10-23T11:15:55;4384.96
5;rowdy repeatedly;2024-10-23T02:09:58;2024-10-23T13:53:31;29756.09
6;uh-huh clamp;2024-10-22T21:22:22;2024-10-23T10:32:05;21705.86
7;desk appropriate which;2024-10-23T03:09:35;2024-10-23T17:40:10;17365.61
8;pish;2024-10-23T12:23:07;2024-10-22T19:11:27;23131.02
9;till animated;2024-10-23T07:46:28;2024-10-23T14:57:56;14332.95
10;gadzooks during wrongly;2024-10-23T08:35:30;2024-10-22T19:25:16;19607.52
